bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
JL,temperature,0.9731225296442688,real,0.45454545454545453,gate_planes_resnet18_temperature,0.33383972243378185,0.3332908891850724,0.19358779235263,0.31753359951379756,0.3074987993304825,0.2796072291457696,0.20642795938549574,0.11717881582650876,0.035201340287011246,0.005299568418380299,0.0,1,1265,1265,,imagesource,0.55
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.55
GF,temperature,0.9902097902097902,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.6000000000000001
GoogleEarth,temperature,0.826650587880615,real,0.9032258064516129,gate_planes_resnet18_temperature,0.8870060953261297,0.8765043442560982,0.6110997437814079,0.8556272465751155,0.8327684921535932,0.7979868568457763,0.736346494009472,0.608778096310287,0.3879946917243192,0.12489507514704816,0.0030900454662390517,1,3317,3317,,imagesource,0.6000000000000001
JL,temperature,0.9739130434782609,real,0.45454545454545453,gate_planes_resnet18_temperature,0.33383972243378185,0.3332908891850724,0.19358779235263,0.31753359951379756,0.3074987993304825,0.2796072291457696,0.20642795938549574,0.11717881582650876,0.035201340287011246,0.005299568418380299,0.0,1,1265,1265,,imagesource,0.6000000000000001
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.6000000000000001
GF,temperature,0.9902097902097902,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.65
GoogleEarth,temperature,0.8287609285498945,real,0.8983870967741936,gate_planes_resnet18_temperature,0.8866661081626694,0.8761461733535153,0.6092073456453078,0.8552231776438645,0.8236935986294113,0.7890552933925421,0.7361232761556858,0.6089616783048625,0.3881595470406894,0.12495455830359811,0.0030900454662390517,1,3317,3317,,imagesource,0.65
JL,temperature,0.9739130434782609,real,0.45454545454545453,gate_planes_resnet18_temperature,0.33383972243378185,0.3332908891850724,0.19358779235263,0.31753359951379756,0.3074987993304825,0.2796072291457696,0.20642795938549574,0.11717881582650876,0.035201340287011246,0.005299568418380299,0.0,1,1265,1265,,imagesource,0.65
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.65
GF,temperature,0.9902097902097902,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.7000000000000001
